db,phi,h_x,h_y,cost,P2,GA,parameters,reason
1.2244897959183674,0.0,0.0,0.0,-6.249999980129095e-5,0.0,0.16666666776821915,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.2653061224489797,0.0,0.0,0.0,-6.249999973179099e-5,0.0,0.16666666641551148,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.3061224489795917,0.0,0.0,0.0,-6.250000020721624e-5,0.0,0.16666666545581948,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.346938775510204,0.0,0.0,0.0,-6.249999982621546e-5,0.0,0.16666666850610948,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.3877551020408163,0.0,0.0,0.0,-6.250000025806446e-5,0.0,0.16666666666312785,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.4285714285714286,0.0,0.0,0.0,-6.24999997627107e-5,0.0,0.16666666781381306,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.469387755102041,0.0,0.0,0.0,-6.249999982110843e-5,0.0,0.16666666892928306,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.510204081632653,0.0,0.0,0.0,-6.249999974267118e-5,0.0,0.16666666665008578,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.5510204081632653,0.0,0.0,0.0,-6.249999969740183e-5,0.0,0.16666666622492754,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.5918367346938775,0.0,0.0,0.0,-6.249999975416198e-5,0.0,0.1666666677222125,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8349999999998888, ""h_x"" => 0.8349999999998887, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.5014999999999257, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.5014999999999257, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
